"ID","Group","days","weight"
"rat-1","Grp1",1,240
"rat-2","Grp1",1,225
"rat-3","Grp1",1,245
"rat-4","Grp1",1,260
"rat-5","Grp1",1,255
"rat-6","Grp1",1,260
"rat-7","Grp1",1,275
"rat-8","Grp1",1,245
"rat-9","Grp2",1,410
"rat-10","Grp2",1,405
"rat-11","Grp2",1,445
"rat-12","Grp2",1,555
"rat-13","Grp3",1,470
"rat-14","Grp3",1,535
"rat-15","Grp3",1,520
"rat-16","Grp3",1,510
"rat-1","Grp1",8,250
"rat-2","Grp1",8,230
"rat-3","Grp1",8,250
"rat-4","Grp1",8,255
"rat-5","Grp1",8,260
"rat-6","Grp1",8,265
"rat-7","Grp1",8,275
"rat-8","Grp1",8,255
"rat-9","Grp2",8,415
"rat-10","Grp2",8,420
"rat-11","Grp2",8,445
"rat-12","Grp2",8,560
"rat-13","Grp3",8,465
"rat-14","Grp3",8,525
"rat-15","Grp3",8,525
"rat-16","Grp3",8,510
"rat-1","Grp1",15,255
"rat-2","Grp1",15,230
"rat-3","Grp1",15,250
"rat-4","Grp1",15,255
"rat-5","Grp1",15,255
"rat-6","Grp1",15,270
"rat-7","Grp1",15,260
"rat-8","Grp1",15,260
"rat-9","Grp2",15,425
"rat-10","Grp2",15,430
"rat-11","Grp2",15,450
"rat-12","Grp2",15,565
"rat-13","Grp3",15,475
"rat-14","Grp3",15,530
"rat-15","Grp3",15,530
"rat-16","Grp3",15,520
"rat-1","Grp1",22,260
"rat-2","Grp1",22,232
"rat-3","Grp1",22,255
"rat-4","Grp1",22,265
"rat-5","Grp1",22,270
"rat-6","Grp1",22,275
"rat-7","Grp1",22,270
"rat-8","Grp1",22,268
"rat-9","Grp2",22,428
"rat-10","Grp2",22,440
"rat-11","Grp2",22,452
"rat-12","Grp2",22,580
"rat-13","Grp3",22,485
"rat-14","Grp3",22,533
"rat-15","Grp3",22,540
"rat-16","Grp3",22,515
"rat-1","Grp1",29,262
"rat-2","Grp1",29,240
"rat-3","Grp1",29,262
"rat-4","Grp1",29,265
"rat-5","Grp1",29,270
"rat-6","Grp1",29,275
"rat-7","Grp1",29,273
"rat-8","Grp1",29,270
"rat-9","Grp2",29,438
"rat-10","Grp2",29,448
"rat-11","Grp2",29,455
"rat-12","Grp2",29,590
"rat-13","Grp3",29,487
"rat-14","Grp3",29,535
"rat-15","Grp3",29,543
"rat-16","Grp3",29,530
"rat-1","Grp1",36,258
"rat-2","Grp1",36,240
"rat-3","Grp1",36,265
"rat-4","Grp1",36,268
"rat-5","Grp1",36,273
"rat-6","Grp1",36,277
"rat-7","Grp1",36,274
"rat-8","Grp1",36,265
"rat-9","Grp2",36,443
"rat-10","Grp2",36,460
"rat-11","Grp2",36,455
"rat-12","Grp2",36,597
"rat-13","Grp3",36,493
"rat-14","Grp3",36,540
"rat-15","Grp3",36,546
"rat-16","Grp3",36,538
"rat-1","Grp1",43,266
"rat-2","Grp1",43,243
"rat-3","Grp1",43,267
"rat-4","Grp1",43,270
"rat-5","Grp1",43,274
"rat-6","Grp1",43,278
"rat-7","Grp1",43,276
"rat-8","Grp1",43,265
"rat-9","Grp2",43,442
"rat-10","Grp2",43,458
"rat-11","Grp2",43,451
"rat-12","Grp2",43,595
"rat-13","Grp3",43,493
"rat-14","Grp3",43,525
"rat-15","Grp3",43,538
"rat-16","Grp3",43,535
"rat-1","Grp1",44,266
"rat-2","Grp1",44,244
"rat-3","Grp1",44,267
"rat-4","Grp1",44,272
"rat-5","Grp1",44,273
"rat-6","Grp1",44,278
"rat-7","Grp1",44,271
"rat-8","Grp1",44,267
"rat-9","Grp2",44,446
"rat-10","Grp2",44,464
"rat-11","Grp2",44,450
"rat-12","Grp2",44,595
"rat-13","Grp3",44,504
"rat-14","Grp3",44,530
"rat-15","Grp3",44,544
"rat-16","Grp3",44,542
"rat-1","Grp1",50,265
"rat-2","Grp1",50,238
"rat-3","Grp1",50,264
"rat-4","Grp1",50,274
"rat-5","Grp1",50,276
"rat-6","Grp1",50,284
"rat-7","Grp1",50,282
"rat-8","Grp1",50,273
"rat-9","Grp2",50,456
"rat-10","Grp2",50,475
"rat-11","Grp2",50,462
"rat-12","Grp2",50,612
"rat-13","Grp3",50,507
"rat-14","Grp3",50,543
"rat-15","Grp3",50,553
"rat-16","Grp3",50,550
"rat-1","Grp1",57,272
"rat-2","Grp1",57,247
"rat-3","Grp1",57,268
"rat-4","Grp1",57,273
"rat-5","Grp1",57,278
"rat-6","Grp1",57,279
"rat-7","Grp1",57,281
"rat-8","Grp1",57,274
"rat-9","Grp2",57,468
"rat-10","Grp2",57,484
"rat-11","Grp2",57,466
"rat-12","Grp2",57,618
"rat-13","Grp3",57,518
"rat-14","Grp3",57,544
"rat-15","Grp3",57,555
"rat-16","Grp3",57,553
"rat-1","Grp1",64,278
"rat-2","Grp1",64,245
"rat-3","Grp1",64,269
"rat-4","Grp1",64,275
"rat-5","Grp1",64,280
"rat-6","Grp1",64,281
"rat-7","Grp1",64,284
"rat-8","Grp1",64,278
"rat-9","Grp2",64,478
"rat-10","Grp2",64,496
"rat-11","Grp2",64,472
"rat-12","Grp2",64,628
"rat-13","Grp3",64,525
"rat-14","Grp3",64,559
"rat-15","Grp3",64,548
"rat-16","Grp3",64,569
